incident_id,year,quarter,country,incident_category,severity,sector_affected,estimated_victims,financial_damage_usd,genai_tool_involved,perpetrator_type,legal_action_taken,media_coverage_score,cross_border,detection_method,resolution_status
INC-00021,2023,Q1,Brazil,AI Bias in Hiring,Critical,Healthcare,445565,4511554.4,Image Generator,Corporation,0,6.6,0,Automated Flag,Perpetrator Identified
INC-00022,2025,Q4,Indonesia,Academic Dishonesty,High,Personal,41907,,Unknown,State Actor,1,6.1,0,Journalist Investigation,Closed-No Action
INC-00023,2023,Q2,Germany,AI Surveillance Abuse,High,Politics,28000,119078.3,Video Synthesizer,Corporation,0,8.9,1,Platform AI,Perpetrator Identified
INC-00024,2023,Q3,Germany,Voice Cloning Scam,High,Personal,32252,7190931.5,LLM Chatbot,Unknown,1,7.7,0,Whistleblower,Perpetrator Identified
INC-00025,2024,Q4,Brazil,Medical AI Misdiagnosis,High,Finance,52608,1865116.42,Image Generator,Individual,0,0.2,1,Victim Report,Closed-No Action
INC-00026,2024,Q1,UAE,Voice Cloning Scam,Low,Employment,2783,,LLM Chatbot,State Actor,0,0.4,0,Victim Report,Legal Proceedings
INC-00027,2023,Q1,Taiwan,Medical AI Misdiagnosis,Medium,Employment,6241,,Code Generator,Corporation,0,3.4,0,Automated Flag,Perpetrator Identified
INC-00028,2023,Q2,Australia,Deepfake Political Disinformation,Low,Education,4926,3033.94,Multiple,Unknown,0,3.6,1,Journalist Investigation,Legal Proceedings
INC-00029,2025,Q1,Venezuela,Chatbot Harmful Advice,High,Employment,119100,,LLM Chatbot,Individual,0,3.4,0,Whistleblower,Legal Proceedings
INC-00030,2022,Q2,Australia,AI-Generated Fraud,Low,Finance,4054,,Code Generator,Organized Group,1,5.5,0,Human Review,Resolved
INC-00031,2024,Q3,Nigeria,AI Plagiarism,Medium,Politics,18609,511549.28,Video Synthesizer,State Actor,0,8.4,0,Human Review,Closed-No Action
INC-00032,2023,Q3,Mexico,AI Bias in Hiring,Low,Finance,920,46225.85,LLM Chatbot,Unknown,0,8.2,1,Victim Report,Under Investigation
INC-00033,2024,Q4,United Kingdom,Voice Cloning Scam,Low,Healthcare,1038,3980.01,Multiple,Individual,1,4.7,0,Automated Flag,Unresolved
INC-00034,2024,Q1,Italy,AI Plagiarism,High,Finance,48700,8369690.23,Code Generator,Individual,1,3.9,1,Forensic Analysis,Under Investigation
INC-00035,2024,Q3,India,AI-Generated Fraud,Low,Finance,1273,28181.91,Voice Cloner,State Actor,1,6.7,0,Forensic Analysis,Closed-No Action
INC-00036,2025,Q2,Australia,Copyright Infringement via Image Gen,Critical,Politics,456238,3426756.42,Voice Cloner,Corporation,1,0.2,1,Automated Flag,Closed-No Action
INC-00037,2025,Q4,France,Voice Cloning Scam,Low,Finance,5958,5493.69,Image Generator,Organized Group,0,6.6,1,Platform AI,Closed-No Action
INC-00038,2023,Q4,Brazil,Voice Cloning Scam,Medium,Employment,22780,,Video Synthesizer,Organized Group,1,4.4,0,Automated Flag,Unresolved
INC-00039,2025,Q3,Nigeria,Manipulated Audio Evidence,Medium,Public Safety,6612,2551.53,Video Synthesizer,Corporation,0,5.7,0,Automated Flag,Resolved
INC-00040,2024,Q4,France,Deepfake Political Disinformation,Medium,Public Safety,46315,,Unknown,Corporation,0,9.8,0,Victim Report,Resolved
INC-00041,2024,Q1,South Korea,Voice Cloning Scam,High,Employment,37574,,Video Synthesizer,State Actor,0,3.5,1,Automated Flag,Perpetrator Identified
INC-00042,2024,Q2,Saudi Arabia,Chatbot Harmful Advice,Low,Public Safety,6273,116453.87,Voice Cloner,Organized Group,0,9.6,0,Whistleblower,Unresolved
INC-00043,2023,Q3,South Korea,AI Bias in Credit Scoring,Low,Legal,3824,89046.71,LLM Chatbot,Unknown,1,1.0,1,Victim Report,Perpetrator Identified
INC-00044,2025,Q3,South Korea,Academic Dishonesty,High,Politics,18195,26742535.53,LLM Chatbot,Organized Group,1,6.2,1,Whistleblower,Unresolved
INC-00045,2024,Q4,Taiwan,Voice Cloning Scam,Low,Public Safety,7378,38737.94,LLM Chatbot,Organized Group,1,6.0,0,Victim Report,Under Investigation
INC-00046,2024,Q2,Singapore,AI Identity Theft,High,Employment,180719,2013307.14,Unknown,State Actor,0,2.9,1,Human Review,Legal Proceedings
INC-00047,2024,Q4,Taiwan,AI Plagiarism,High,Politics,28718,2720877.22,Multiple,Corporation,1,6.9,0,Journalist Investigation,Unresolved
INC-00048,2023,Q4,Spain,AI-Generated Legal Documents (Unauthorized),Critical,Employment,316515,32296688.36,Code Generator,Individual,0,5.2,0,Platform AI,Unresolved
INC-00049,2024,Q3,France,Medical AI Misdiagnosis,Medium,Legal,22823,530204.26,Multiple,Corporation,1,1.4,0,Whistleblower,Under Investigation
INC-00050,2024,Q3,UAE,Voice Cloning Scam,Medium,Media,107819,576767.24,Image Generator,Individual,0,8.6,0,Human Review,Closed-No Action
INC-00051,2025,Q1,Venezuela,Copyright Infringement via Image Gen,Medium,Media,9378,476555.58,Unknown,Corporation,0,0.5,1,Journalist Investigation,Under Investigation
INC-00052,2025,Q3,Singapore,Automated Misinformation Campaign,Medium,Legal,65552,872316.23,Image Generator,State Actor,0,7.0,1,Forensic Analysis,Under Investigation
INC-00053,2024,Q3,Indonesia,Medical AI Misdiagnosis,Low,Media,573,191379.45,Image Generator,Unknown,1,3.0,1,Victim Report,Unresolved
INC-00054,2025,Q2,Nigeria,AI Plagiarism,Medium,Employment,26616,645387.86,Code Generator,State Actor,0,6.3,0,Forensic Analysis,Legal Proceedings
INC-00055,2024,Q4,Saudi Arabia,Copyright Infringement via Image Gen,Medium,Education,4232,238302.0,Image Generator,Corporation,0,6.2,0,Whistleblower,Resolved
INC-00056,2025,Q4,India,AI Identity Theft,Low,Public Safety,1112,84879.34,Image Generator,Unknown,0,6.5,0,Whistleblower,Resolved
INC-00057,2023,Q1,North Korea,AI Plagiarism,Low,Politics,750,56558.43,LLM Chatbot,Organized Group,0,1.8,0,Platform AI,Resolved
INC-00058,2023,Q4,Ireland,Academic Dishonesty,Critical,Public Safety,13163,30990720.4,Unknown,Organized Group,0,0.7,1,Automated Flag,Resolved
INC-00059,2023,Q2,New Zealand,AI Plagiarism,Medium,Public Safety,2169,588796.44,Image Generator,Organized Group,1,9.8,0,Whistleblower,Legal Proceedings
INC-00060,2024,Q4,Turkey,AI-Enabled Phishing,Medium,Education,17731,25272.5,Unknown,Unknown,1,4.3,1,Forensic Analysis,Under Investigation
INC-00061,2025,Q2,UAE,AI-Generated Fraud,Critical,Personal,609428,,Video Synthesizer,Corporation,0,5.5,0,Platform AI,Resolved
INC-00062,2025,Q2,South Korea,AI-Enabled Phishing,Low,Healthcare,6650,,Multiple,Unknown,0,7.9,0,Whistleblower,Closed-No Action
INC-00063,2023,Q1,Mexico,AI Bias in Credit Scoring,High,Finance,45788,1199119.58,Multiple,Corporation,0,8.7,0,Whistleblower,Legal Proceedings
INC-00064,2022,Q1,Russia,Chatbot Harmful Advice,Critical,Politics,222835,92215075.65,LLM Chatbot,State Actor,0,5.5,1,Automated Flag,Perpetrator Identified
INC-00065,2025,Q3,Japan,Synthetic Media Electoral Interference,Medium,Employment,1040,126912.17,Image Generator,Individual,0,3.2,1,Automated Flag,Under Investigation
INC-00066,2025,Q2,Saudi Arabia,AI Bias in Hiring,Low,Politics,42,30203.36,Image Generator,Organized Group,0,5.3,0,Victim Report,Closed-No Action
INC-00067,2025,Q1,Australia,AI-Generated Fraud,High,Personal,35461,8905826.85,Multiple,Organized Group,1,2.9,0,Human Review,Resolved
INC-00068,2025,Q4,Brazil,Chatbot Harmful Advice,Critical,Personal,2796598,,Image Generator,Organized Group,0,6.3,0,Forensic Analysis,Perpetrator Identified
INC-00069,2023,Q3,India,Voice Cloning Scam,High,Personal,394726,4085558.02,LLM Chatbot,State Actor,0,7.7,0,Automated Flag,Under Investigation
INC-00070,2023,Q1,Saudi Arabia,Non-Consensual Intimate Imagery,High,Education,57649,640729.28,Unknown,Unknown,0,3.4,0,Platform AI,Closed-No Action
INC-00071,2022,Q3,Israel,Chatbot Harmful Advice,High,Public Safety,74585,755003.0,Code Generator,Individual,1,6.0,0,Human Review,Unresolved
INC-00072,2024,Q4,Saudi Arabia,Voice Cloning Scam,Medium,Healthcare,47676,346791.2,Video Synthesizer,Corporation,1,2.0,1,Human Review,Perpetrator Identified
INC-00073,2024,Q3,Germany,Copyright Infringement via Image Gen,Low,Public Safety,3028,42940.95,Unknown,Unknown,1,5.8,0,Human Review,Under Investigation
INC-00074,2025,Q1,Venezuela,AI-Enabled Phishing,Medium,Politics,37981,,Image Generator,Unknown,0,3.4,1,Whistleblower,Resolved
INC-00075,2023,Q4,Chile,AI Bias in Credit Scoring,Low,Finance,4144,,Unknown,Individual,0,5.9,1,Platform AI,Unresolved
INC-00076,2025,Q2,Russia,Voice Cloning Scam,Critical,Employment,920845,,Unknown,Unknown,0,1.5,1,Whistleblower,Resolved
INC-00077,2024,Q4,Iran,AI-Enabled Phishing,Low,Public Safety,7324,44264.96,Code Generator,Organized Group,0,9.8,0,Victim Report,Under Investigation
INC-00078,2025,Q2,Indonesia,Academic Dishonesty,Low,Politics,107,48340.07,Multiple,Individual,0,6.2,1,Forensic Analysis,Legal Proceedings
INC-00079,2024,Q2,India,Automated Misinformation Campaign,High,Public Safety,110083,,Image Generator,Unknown,0,4.0,0,Victim Report,Legal Proceedings
INC-00080,2023,Q3,Netherlands,Automated Misinformation Campaign,High,Finance,316718,4004084.19,Code Generator,Corporation,0,0.2,0,Forensic Analysis,Under Investigation
INC-00081,2025,Q1,Germany,Chatbot Harmful Advice,Medium,Legal,580,13574.32,Video Synthesizer,Corporation,0,3.5,0,Whistleblower,Resolved
INC-00082,2024,Q2,Mexico,AI Bias in Credit Scoring,Critical,Healthcare,363691,86212.9,Video Synthesizer,Corporation,0,9.4,0,Platform AI,Unresolved
INC-00083,2024,Q4,Indonesia,Automated Misinformation Campaign,Medium,Media,4759,,Unknown,Individual,0,6.4,0,Whistleblower,Under Investigation
INC-00084,2025,Q3,Sweden,Academic Dishonesty,Medium,Education,13257,436076.88,Unknown,Unknown,1,7.6,0,Automated Flag,Under Investigation
INC-00085,2025,Q1,Singapore,Deepfake Political Disinformation,High,Politics,116459,2867748.86,Voice Cloner,Organized Group,0,3.8,0,Forensic Analysis,Resolved
INC-00086,2025,Q4,Brazil,AI Surveillance Abuse,Medium,Personal,41382,342982.27,LLM Chatbot,Unknown,0,7.0,0,Platform AI,Perpetrator Identified
INC-00087,2023,Q2,Taiwan,AI-Generated Legal Documents (Unauthorized),Medium,Media,8279,,Video Synthesizer,Unknown,1,7.6,0,Automated Flag,Under Investigation
INC-00088,2023,Q3,Poland,Copyright Infringement via Image Gen,High,Politics,192728,653892.52,LLM Chatbot,Organized Group,0,6.8,0,Journalist Investigation,Unresolved
INC-00089,2024,Q2,Ireland,Voice Cloning Scam,High,Employment,56201,179296.34,Code Generator,Corporation,0,2.9,0,Victim Report,Under Investigation
INC-00090,2024,Q4,Brazil,AI Bias in Hiring,Medium,Personal,11343,202609.51,Image Generator,Organized Group,0,6.2,1,Automated Flag,Perpetrator Identified
INC-00091,2024,Q1,Sweden,AI Surveillance Abuse,Critical,Legal,237494,,Multiple,Organized Group,0,3.1,0,Automated Flag,Legal Proceedings
INC-00092,2022,Q1,Ireland,AI-Enabled Phishing,Critical,Education,19402,16252480.96,Image Generator,State Actor,0,3.3,0,Automated Flag,Closed-No Action
INC-00093,2024,Q3,Chile,AI-Enabled Phishing,Critical,Education,548711,28984837.8,Unknown,State Actor,1,5.9,0,Victim Report,Under Investigation
INC-00094,2023,Q4,Iran,AI-Generated Fraud,Medium,Healthcare,4486,120311.28,Unknown,Individual,1,7.8,0,Victim Report,Perpetrator Identified
INC-00095,2023,Q1,Turkey,Deepfake Political Disinformation,Low,Personal,9575,18224.35,Image Generator,Individual,0,1.2,0,Victim Report,Legal Proceedings
INC-00096,2025,Q1,Mexico,AI Surveillance Abuse,Medium,Public Safety,2920,,Voice Cloner,Organized Group,1,0.8,0,Forensic Analysis,Closed-No Action
INC-00097,2024,Q2,Sweden,AI Bias in Hiring,High,Personal,65936,3469289.65,Multiple,Corporation,0,9.8,0,Forensic Analysis,Unresolved
INC-00098,2023,Q3,France,Automated Misinformation Campaign,Low,Employment,9381,96032.69,Multiple,Organized Group,0,5.7,1,Automated Flag,Legal Proceedings
INC-00099,2023,Q2,Indonesia,AI Bias in Credit Scoring,Critical,Media,636264,,Video Synthesizer,Organized Group,0,2.1,0,Human Review,Legal Proceedings
INC-00100,2024,Q1,Indonesia,AI Bias in Credit Scoring,Medium,Healthcare,4233,,Multiple,State Actor,0,8.8,0,Victim Report,Closed-No Action
INC-00101,2022,Q2,Spain,Non-Consensual Intimate Imagery,Low,Employment,492,17030.15,Video Synthesizer,Organized Group,0,1.3,1,Platform AI,Unresolved
INC-00102,2024,Q3,Italy,Automated Misinformation Campaign,Critical,Finance,571469,13780627.48,Video Synthesizer,Individual,0,9.6,1,Victim Report,Legal Proceedings
INC-00103,2023,Q1,Brazil,AI Bias in Credit Scoring,Low,Finance,2907,34228.04,Unknown,Unknown,1,8.3,0,Human Review,Resolved
INC-00104,2023,Q3,Brazil,AI-Enabled Phishing,Medium,Personal,18044,359172.45,Voice Cloner,State Actor,1,4.7,0,Human Review,Unresolved
INC-00105,2022,Q3,Brazil,AI Bias in Credit Scoring,Low,Employment,3318,7344.71,Code Generator,State Actor,0,3.8,0,Platform AI,Resolved
INC-00106,2023,Q4,Singapore,Automated Misinformation Campaign,High,Media,59702,4783642.13,Voice Cloner,State Actor,0,5.9,1,Victim Report,Resolved
INC-00107,2025,Q4,South Africa,AI-Generated Fraud,Medium,Media,3656,329792.41,LLM Chatbot,Unknown,0,6.6,1,Journalist Investigation,Resolved
INC-00108,2025,Q1,Brazil,AI Bias in Hiring,Critical,Employment,655110,,Code Generator,Organized Group,1,1.4,1,Journalist Investigation,Closed-No Action
INC-00109,2024,Q2,India,Deepfake Political Disinformation,High,Personal,94562,5046052.11,Voice Cloner,Individual,0,3.5,0,Automated Flag,Perpetrator Identified
INC-00110,2024,Q2,Indonesia,Manipulated Audio Evidence,Low,Legal,4351,30843.83,Video Synthesizer,Organized Group,0,0.1,1,Forensic Analysis,Perpetrator Identified
INC-00111,2022,Q2,Kenya,Medical AI Misdiagnosis,Low,Politics,12640,,LLM Chatbot,Unknown,0,1.4,1,Platform AI,Under Investigation
INC-00112,2025,Q1,India,Chatbot Harmful Advice,Medium,Legal,1222,444772.7,Video Synthesizer,Individual,0,9.1,1,Platform AI,Perpetrator Identified
INC-00113,2025,Q3,Brazil,Medical AI Misdiagnosis,High,Public Safety,595023,,Code Generator,Unknown,1,7.1,0,Victim Report,Closed-No Action
INC-00114,2024,Q4,Chile,AI Surveillance Abuse,High,Public Safety,142288,,LLM Chatbot,Organized Group,0,3.7,0,Platform AI,Closed-No Action
INC-00115,2023,Q1,North Korea,Manipulated Audio Evidence,High,Politics,83234,6490446.02,Code Generator,State Actor,0,0.3,0,Whistleblower,Under Investigation
INC-00116,2024,Q4,Venezuela,Non-Consensual Intimate Imagery,Low,Finance,3145,,Video Synthesizer,State Actor,0,7.8,0,Victim Report,Under Investigation
INC-00117,2024,Q4,Japan,Voice Cloning Scam,Low,Politics,2217,28568.28,Multiple,Unknown,1,3.9,1,Automated Flag,Closed-No Action
INC-00118,2023,Q1,Taiwan,Academic Dishonesty,High,Legal,194299,,LLM Chatbot,State Actor,1,5.5,0,Platform AI,Perpetrator Identified
INC-00119,2024,Q4,Taiwan,Automated Misinformation Campaign,Medium,Legal,6203,344803.65,Multiple,Individual,0,5.9,1,Journalist Investigation,Unresolved
INC-00120,2024,Q3,Ireland,Synthetic Media Electoral Interference,Medium,Education,75933,,Video Synthesizer,Unknown,1,6.1,1,Victim Report,Unresolved
INC-00121,2024,Q2,Nigeria,Non-Consensual Intimate Imagery,Low,Employment,10264,27769.34,Image Generator,State Actor,1,4.0,0,Forensic Analysis,Resolved
INC-00122,2025,Q4,Australia,Non-Consensual Intimate Imagery,Low,Healthcare,4788,,Multiple,State Actor,1,7.6,0,Automated Flag,Legal Proceedings
INC-00123,2024,Q4,Indonesia,Academic Dishonesty,Low,Education,2349,,Multiple,Individual,1,4.5,0,Platform AI,Perpetrator Identified
INC-00124,2023,Q1,Saudi Arabia,Deepfake Political Disinformation,Low,Finance,764,76744.89,Image Generator,Individual,0,2.3,0,Journalist Investigation,Resolved
INC-00125,2023,Q3,South Korea,AI Bias in Credit Scoring,High,Employment,36743,2051698.7,Unknown,Organized Group,0,9.8,0,Platform AI,Perpetrator Identified
INC-00126,2023,Q3,United States,Copyright Infringement via Image Gen,Medium,Finance,2738,,Multiple,State Actor,0,3.8,1,Journalist Investigation,Unresolved
INC-00127,2024,Q4,Israel,AI Bias in Hiring,High,Public Safety,236408,2138646.46,Image Generator,Organized Group,1,6.8,1,Human Review,Resolved
INC-00128,2024,Q4,Brazil,AI Identity Theft,Low,Healthcare,2937,239303.5,Multiple,Organized Group,1,0.4,1,Automated Flag,Legal Proceedings
INC-00129,2025,Q2,Venezuela,Copyright Infringement via Image Gen,Medium,Employment,6159,98190.95,Video Synthesizer,Unknown,1,3.6,1,Human Review,Unresolved
INC-00130,2023,Q4,Indonesia,Manipulated Audio Evidence,Low,Finance,6924,,LLM Chatbot,Organized Group,0,4.5,1,Journalist Investigation,Unresolved
INC-00131,2025,Q3,Brazil,AI Surveillance Abuse,High,Healthcare,29972,96995.73,Unknown,Individual,0,0.2,0,Whistleblower,Legal Proceedings
INC-00132,2024,Q4,Singapore,AI Bias in Hiring,Medium,Public Safety,19397,,Image Generator,Corporation,0,9.0,1,Victim Report,Resolved
INC-00133,2023,Q3,South Korea,Academic Dishonesty,High,Media,193986,,Unknown,Individual,1,8.1,1,Journalist Investigation,Closed-No Action
INC-00134,2025,Q4,United Kingdom,Medical AI Misdiagnosis,Low,Legal,2366,,LLM Chatbot,Individual,1,3.8,1,Whistleblower,Legal Proceedings
INC-00135,2022,Q3,Singapore,AI Bias in Hiring,Critical,Education,270544,1890530.64,Video Synthesizer,Corporation,0,4.7,1,Victim Report,Unresolved
INC-00136,2023,Q4,United States,Copyright Infringement via Image Gen,Medium,Legal,8342,,Code Generator,Corporation,1,5.1,0,Whistleblower,Closed-No Action
INC-00137,2023,Q3,Taiwan,AI Identity Theft,Low,Media,1726,27596.09,Multiple,Corporation,0,7.0,1,Journalist Investigation,Closed-No Action
INC-00138,2024,Q3,Taiwan,Copyright Infringement via Image Gen,Medium,Healthcare,2788,,Code Generator,Individual,0,4.6,1,Platform AI,Under Investigation
INC-00139,2025,Q1,Spain,AI Identity Theft,Critical,Employment,462625,100437679.21,Image Generator,Individual,0,5.2,1,Forensic Analysis,Under Investigation
INC-00140,2023,Q1,Australia,AI-Enabled Phishing,Low,Media,2148,41298.53,Image Generator,Unknown,1,10.0,0,Victim Report,Resolved
INC-00141,2024,Q3,Canada,Non-Consensual Intimate Imagery,Critical,Personal,552243,55657714.97,LLM Chatbot,Individual,1,6.5,0,Human Review,Under Investigation
INC-00142,2023,Q2,Singapore,Non-Consensual Intimate Imagery,Low,Employment,3819,,LLM Chatbot,State Actor,0,5.7,0,Whistleblower,Legal Proceedings
INC-00143,2025,Q4,United Kingdom,Synthetic Media Electoral Interference,Medium,Finance,16997,,Code Generator,Organized Group,0,1.0,0,Human Review,Resolved
INC-00144,2024,Q3,Taiwan,Manipulated Audio Evidence,High,Healthcare,18409,4846869.14,Code Generator,Corporation,1,2.2,1,Platform AI,Under Investigation
INC-00145,2025,Q3,Taiwan,Automated Misinformation Campaign,Low,Education,6172,86251.79,Video Synthesizer,Individual,0,9.0,0,Journalist Investigation,Legal Proceedings
INC-00146,2024,Q4,Singapore,Synthetic Media Electoral Interference,Low,Media,634,66076.59,Voice Cloner,Organized Group,1,7.6,1,Automated Flag,Legal Proceedings
INC-00147,2024,Q3,Canada,Non-Consensual Intimate Imagery,High,Finance,87763,3510230.29,Image Generator,Organized Group,1,6.4,1,Journalist Investigation,Under Investigation
INC-00148,2023,Q3,Netherlands,Voice Cloning Scam,High,Employment,91575,1471113.41,Image Generator,Corporation,1,7.3,1,Automated Flag,Legal Proceedings
INC-00149,2022,Q1,Sweden,AI-Generated Legal Documents (Unauthorized),Medium,Politics,27789,475139.56,Video Synthesizer,Individual,1,4.3,0,Automated Flag,Legal Proceedings
INC-00150,2024,Q3,New Zealand,Medical AI Misdiagnosis,Medium,Public Safety,7446,,Code Generator,Organized Group,1,6.0,0,Journalist Investigation,Resolved
INC-00151,2024,Q2,South Africa,AI Bias in Hiring,Medium,Public Safety,35493,150843.15,Multiple,State Actor,0,0.1,0,Journalist Investigation,Legal Proceedings
INC-00152,2024,Q1,Australia,AI Bias in Credit Scoring,Critical,Media,454314,,LLM Chatbot,State Actor,0,7.5,1,Whistleblower,Resolved
INC-00153,2025,Q1,Netherlands,Chatbot Harmful Advice,Low,Education,4951,,LLM Chatbot,Organized Group,0,4.9,1,Forensic Analysis,Closed-No Action
INC-00154,2023,Q3,Chile,Non-Consensual Intimate Imagery,Low,Healthcare,2047,104192.95,Video Synthesizer,Individual,0,8.6,1,Forensic Analysis,Unresolved
INC-00155,2024,Q2,India,Non-Consensual Intimate Imagery,Low,Legal,2837,276.89,Unknown,Corporation,0,1.7,1,Forensic Analysis,Resolved
INC-00156,2024,Q3,Turkey,AI Plagiarism,Critical,Healthcare,687844,43936792.58,Video Synthesizer,Individual,0,1.1,0,Victim Report,Resolved
INC-00157,2025,Q3,China,Voice Cloning Scam,Low,Personal,1235,43004.11,Code Generator,Organized Group,1,6.3,1,Platform AI,Resolved
INC-00158,2025,Q2,Sweden,AI Surveillance Abuse,Medium,Education,20254,494294.39,Multiple,Corporation,0,4.2,1,Whistleblower,Closed-No Action
INC-00159,2022,Q1,Spain,Voice Cloning Scam,Medium,Healthcare,34598,63252.8,Voice Cloner,Individual,1,2.6,0,Forensic Analysis,Closed-No Action
INC-00160,2024,Q2,Poland,Medical AI Misdiagnosis,Medium,Employment,17377,1617500.61,Multiple,Corporation,0,7.2,0,Victim Report,Resolved
INC-00161,2022,Q1,China,AI Bias in Hiring,High,Personal,77577,5648031.61,Image Generator,State Actor,0,3.8,1,Victim Report,Unresolved
INC-00162,2023,Q3,South Africa,Voice Cloning Scam,High,Public Safety,212829,,Multiple,Individual,0,5.2,0,Human Review,Perpetrator Identified
INC-00163,2025,Q2,Japan,Medical AI Misdiagnosis,Critical,Personal,515059,,Code Generator,Corporation,1,1.1,0,Victim Report,Closed-No Action
INC-00164,2024,Q2,North Korea,AI Bias in Hiring,Medium,Politics,33166,,Video Synthesizer,Unknown,0,6.1,1,Platform AI,Unresolved
INC-00165,2022,Q3,South Korea,AI-Generated Legal Documents (Unauthorized),High,Finance,34815,,Code Generator,Corporation,1,9.8,0,Automated Flag,Resolved
INC-00166,2024,Q4,Turkey,Medical AI Misdiagnosis,Medium,Employment,2679,474684.07,Code Generator,Individual,0,5.0,0,Journalist Investigation,Resolved
INC-00167,2025,Q2,United Kingdom,Voice Cloning Scam,Low,Legal,19689,27857.2,Multiple,Individual,1,9.5,0,Whistleblower,Perpetrator Identified
INC-00168,2025,Q2,New Zealand,Academic Dishonesty,Low,Media,5202,85108.63,Code Generator,Unknown,0,4.3,0,Victim Report,Legal Proceedings
INC-00169,2025,Q1,Saudi Arabia,AI-Generated Legal Documents (Unauthorized),High,Finance,12556,2714465.2,LLM Chatbot,State Actor,1,0.4,0,Victim Report,Resolved
INC-00170,2025,Q1,United Kingdom,AI-Generated Legal Documents (Unauthorized),Medium,Education,10304,,Multiple,Corporation,1,8.9,0,Platform AI,Under Investigation
INC-00171,2025,Q4,Canada,AI-Enabled Phishing,Low,Personal,19596,20775.55,Image Generator,State Actor,0,2.9,0,Human Review,Resolved
INC-00172,2023,Q3,Kenya,AI Bias in Hiring,Low,Public Safety,162,85702.35,Video Synthesizer,Corporation,0,2.2,1,Forensic Analysis,Closed-No Action
INC-00173,2024,Q4,Australia,AI Plagiarism,Medium,Employment,49674,273414.93,Unknown,Individual,1,2.1,1,Victim Report,Legal Proceedings
INC-00174,2023,Q3,Chile,AI Bias in Credit Scoring,Medium,Media,5506,1052907.97,Voice Cloner,Individual,1,3.1,1,Forensic Analysis,Legal Proceedings
