country,year,quarter,event_date,event_type,status,policy_impact_score,cross_border_implications,international_treaty_linked,civil_society_opposition_score,industry_lobbying_score,source_type
Singapore,2025,Q4,2025-11-21,AI Content Labelling Law,Enacted,5.8,0,0,6.1,3.6,Press Release
Saudi Arabia,2022,Q1,2022-02-04,AI Copyright Amendment,In Committee,5.6,1,0,5.9,0.6,Official Gazette
Indonesia,2023,Q1,2023-02-23,National AI Strategy Published,Proposed,9.9,0,0,6.0,2.7,News Wire
Nigeria,2025,Q2,2025-05-14,GenAI Export Control,Enacted,9.5,0,0,8.1,0.6,Official Gazette
Italy,2023,Q1,2023-02-27,AI in Education Policy,Enacted,8.9,1,0,8.1,5.8,Press Release
Brazil,2022,Q3,2022-07-16,AI Regulatory Framework Enacted,Passed,8.8,1,0,4.3,0.2,Official Gazette
Turkey,2025,Q4,2025-10-20,Algorithmic Accountability Act,Enacted,6.8,0,0,9.8,3.9,Press Release
Canada,2023,Q3,2023-07-26,Border AI Inspection Policy,Passed,6.4,0,0,6.9,0.5,News Wire
France,2024,Q2,2024-05-19,AI Audit Requirement,Proposed,2.0,0,1,1.7,2.3,Official Gazette
Brazil,2025,Q1,2025-01-25,AI in Healthcare Regulation,Passed,2.2,0,0,3.6,2.1,Official Gazette
Brazil,2023,Q4,2023-10-28,GenAI Export Control,Enacted,7.1,0,1,6.3,3.9,NGO Report
UAE,2022,Q2,2022-06-28,AI Safety Agency Established,Proposed,7.6,1,0,0.8,6.1,Parliamentary Record
Netherlands,2024,Q3,2024-07-02,AI Copyright Amendment,Enacted,7.2,0,0,1.6,4.1,NGO Report
Australia,2025,Q3,2025-09-25,AI Regulatory Framework Enacted,Under Review,4.9,0,1,9.7,3.9,Press Release
UAE,2022,Q2,2022-05-04,AI Content Labelling Law,Enacted,5.3,0,0,7.6,5.5,NGO Report
India,2024,Q3,2024-09-02,GenAI Moratorium Proposed,Enacted,4.8,0,0,7.6,9.6,Official Gazette
Turkey,2022,Q1,2022-03-07,AI Transparency Act,Proposed,6.4,0,0,1.1,1.5,Parliamentary Record
Italy,2024,Q3,2024-07-11,GenAI Moratorium Proposed,Passed,2.5,0,0,2.1,0.1,Parliamentary Record
South Africa,2025,Q2,2025-05-20,GenAI Moratorium Proposed,Proposed,6.7,1,0,4.3,2.4,News Wire
Poland,2024,Q2,2024-05-22,GenAI Export Control,Enacted,8.6,1,0,4.6,8.4,Official Gazette
Italy,2022,Q2,2022-04-23,AI Audit Requirement,Enacted,5.3,0,0,1.8,1.3,Press Release
Brazil,2025,Q1,2025-02-26,AI Procurement Standards,Rejected,1.4,0,0,9.3,6.0,NGO Report
Singapore,2024,Q3,2024-07-13,GenAI Moratorium Proposed,Proposed,4.3,1,0,7.5,2.6,Press Release
Taiwan,2024,Q3,2024-07-13,GenAI Export Control,Enacted,4.4,0,0,7.3,0.7,Press Release
South Korea,2024,Q1,2024-02-14,Deepfake Law Passed,Enacted,7.4,0,1,1.0,5.5,Official Gazette
New Zealand,2025,Q1,2025-02-28,AI in Education Policy,Proposed,8.8,1,0,6.7,5.2,Official Gazette
India,2024,Q2,2024-06-04,AI Workforce Reskilling Program,Enacted,4.7,0,0,3.7,2.8,Official Gazette
Italy,2022,Q1,2022-01-04,Deepfake Law Passed,Proposed,8.8,0,0,8.1,6.5,Official Gazette
Poland,2024,Q2,2024-05-07,AI Audit Requirement,Rejected,5.1,1,0,7.1,3.2,Official Gazette
Mexico,2022,Q1,2022-01-22,Deepfake Law Passed,Proposed,9.9,0,0,0.6,9.6,Official Gazette
Spain,2025,Q3,2025-08-07,AI Transparency Act,Enacted,8.0,0,0,1.9,8.5,News Wire
Japan,2023,Q4,2023-12-10,AI Audit Requirement,Enacted,5.0,1,0,8.9,4.4,Official Gazette
Saudi Arabia,2023,Q1,2023-03-02,AI Liability Bill Introduced,Passed,3.1,0,0,0.1,0.4,Official Gazette
United States,2025,Q4,2025-10-22,Border AI Inspection Policy,Rejected,4.8,0,0,1.5,5.2,Press Release
China,2025,Q4,2025-12-08,National AI Strategy Published,Proposed,9.0,0,1,2.5,5.2,NGO Report
UAE,2024,Q3,2024-08-19,GenAI Export Control,Proposed,1.4,0,0,1.4,5.8,NGO Report
Saudi Arabia,2022,Q2,2022-04-26,Deepfake Law Passed,In Committee,9.4,0,0,7.8,0.5,News Wire
China,2022,Q4,2022-12-22,AI Regulatory Framework Enacted,In Committee,4.0,0,0,0.9,4.3,Press Release
Indonesia,2024,Q1,2024-01-26,AI Ethics Board Formed,Withdrawn,1.6,0,1,6.7,9.2,Press Release
Mexico,2022,Q2,2022-04-27,AI Procurement Standards,Enacted,8.2,0,0,0.7,8.2,News Wire
Mexico,2023,Q3,2023-07-28,AI Content Labelling Law,Enacted,5.9,0,0,8.3,8.9,Parliamentary Record
UAE,2022,Q3,2022-07-11,AI Copyright Amendment,Enacted,9.6,0,0,5.1,0.4,Press Release
UAE,2025,Q4,2025-11-14,AI Content Labelling Law,Passed,9.1,1,0,5.5,7.0,NGO Report
Japan,2024,Q1,2024-03-02,AI Workforce Reskilling Program,In Committee,3.3,0,0,9.5,2.7,NGO Report
Taiwan,2025,Q4,2025-12-18,National AI Strategy Published,Under Review,1.9,0,0,8.9,4.0,Press Release
Germany,2025,Q4,2025-10-07,AI Workforce Reskilling Program,Enacted,5.9,1,0,9.5,8.4,Official Gazette
India,2022,Q1,2022-02-28,Generative AI Procurement Guidelines,In Committee,6.5,0,0,0.7,10.0,News Wire
Turkey,2022,Q1,2022-01-27,Public AI Consultation Launched,Passed,7.3,0,0,3.3,6.0,NGO Report
South Africa,2025,Q2,2025-04-05,Deepfake Law Passed,Proposed,6.6,0,0,3.7,7.0,Official Gazette
Australia,2023,Q2,2023-04-14,Generative AI Procurement Guidelines,Proposed,9.2,0,0,3.2,3.5,Official Gazette
Ireland,2024,Q4,2024-10-19,National AI Strategy Published,Proposed,6.2,1,0,6.8,5.9,NGO Report
India,2023,Q3,2023-09-15,Generative AI Procurement Guidelines,Proposed,8.9,0,0,3.0,8.9,Press Release
